@relation gps_tracking

@attribute Longtitude numeric
@attribute Latitude numeric
@attribute CurrentSpeed numeric
@attribute Timestamp date "yyyy-MM-dd HH:mm:ss"
@attribute MoveType {Walking,Running,Biking,Driving,Metro,Bus,Motionless}
@attribute IsGpsFixed {yes,no}

@data
38.05877402477252,23.79910641244891,14.023102284199899,"2013-6-24 22:0:39",Driving,yes
38.057634411540114,23.79817172426371,13.856240870524614,"2013-6-24 22:1:9",Driving,yes
38.055810968092096,23.797420941863102,13.73196828301078,"2013-6-24 22:1:39",Driving,yes
38.05465143381395,23.797018400582616,13.643460914767216,"2013-6-24 22:2:9",Driving,no
38.05308302223455,23.796240356377584,13.454907075499762,"2013-6-24 22:2:39",Driving,yes
38.05299030678653,23.796224888552402,13.2697365526748,"2013-6-24 22:3:9",Driving,no
38.05213942212515,23.795778481305984,13.119401824965294,"2013-6-24 22:3:39",Driving,yes
38.05033824738078,23.795686444965156,13.023260105260155,"2013-6-24 22:4:9",Driving,yes
38.049030815971435,23.796548911988996,12.926458685247749,"2013-6-24 22:4:39",Driving,yes
38.046261619848785,23.793857845521217,12.837783033929364,"2013-6-24 22:5:9",Driving,yes
38.04605752438022,23.79364811910861,12.67534712708242,"2013-6-24 22:5:39",Driving,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:23:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:24:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:24:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:25:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:25:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:26:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:26:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:27:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:27:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:28:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:28:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:29:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:29:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:30:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:30:39",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:31:9",Metro,no
38.0454916916567,23.778740936261265,0.0,"2013-6-29 18:31:39",Metro,no
38.0279442992212,23.741888617019853,6.767504182767697,"2013-6-29 18:32:9",Metro,yes
38.02749946986894,23.741306111190067,6.818414782801418,"2013-6-29 18:32:39",Metro,no
38.02749946986894,23.741306111190067,6.818414782801418,"2013-6-29 18:33:9",Metro,no
38.02749946986894,23.741306111190067,6.818414782801418,"2013-6-29 18:33:39",Metro,no
38.02749946986894,23.741306111190067,6.818414782801418,"2013-6-29 18:34:9",Metro,no
38.02749946986894,23.741306111190067,6.818414782801418,"2013-6-29 18:34:39",Metro,no
38.02749946986894,23.741306111190067,6.818414782801418,"2013-6-29 18:35:9",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:35:39",Metro,yes
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:36:9",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:36:39",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:37:9",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:37:39",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:38:9",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:38:39",Metro,no
38.01972840503677,23.731953245447098,6.516981760660808,"2013-6-29 18:39:9",Metro,no
38.00627660717286,23.72771070192181,6.19715566483755,"2013-6-29 18:39:39",Metro,yes
38.00624198938452,23.726801003002937,6.0760335756864166,"2013-6-29 18:40:9",Metro,yes
38.00631751241098,23.726602449706395,5.91176236613413,"2013-6-29 18:40:39",Metro,no
38.006447817972735,23.726425340609623,5.7883674488714485,"2013-6-29 18:41:9",Metro,no
38.00033875,23.72640181,2.720000883492317,"2013-7-7 12:18:48",Bus,yes
37.99901046,23.72632259,3.167637588954208,"2013-7-7 12:19:19",Bus,no
37.99779847,23.72616519,3.0878274013321714,"2013-7-7 12:20:5",Bus,no
37.99803966,23.72595303,2.7576042624080883,"2013-7-7 12:20:42",Walking,no
37.99803966,23.72595303,2.7576042624080883,"2013-7-7 12:21:18",Motionless,no
37.99803966,23.72595303,2.7576042624080883,"2013-7-7 12:21:52",Motionless,no
37.99820737,23.72567652,1.9640370741247493,"2013-7-7 12:22:29",Motionless,no
37.99839953,23.72487634,1.6370844110712275,"2013-7-7 12:23:13",Walking,no
37.99834191,23.72445849,1.5374432360410197,"2013-7-7 12:23:54",Walking,no
37.99857913,23.72365329,1.3648326445240562,"2013-7-7 12:24:50",Walking,no
37.99862945,23.72248467,1.297013495055544,"2013-7-7 12:25:58",Walking,no
37.99872029,23.72089754,1.2280599781543533,"2013-7-7 12:27:25",Walking,no
37.99913329,23.72050901,1.1272740119872389,"2013-7-7 12:28:18",Walking,no
37.99904463,23.72027355,1.0924680284633759,"2013-7-7 12:29:1",Walking,no
37.9990831,23.7202507,1.0670695697280237,"2013-7-7 12:29:37",Motionless,no
37.9990968,23.72025732,0.9945015069075597,"2013-7-7 12:30:16",Motionless,no
37.99907582,23.72031544,0.9462272144448877,"2013-7-7 12:31:1",Motionless,no
37.99899594,23.72029414,0.9056665681537829,"2013-7-7 12:31:43",Motionless,no
37.99901957,23.72027951,0.8644828566123303,"2013-7-7 12:32:25",Motionless,no
37.99932156,23.72014869,0.8181723585406553,"2013-7-7 12:33:9",Motionless,no
37.99802274,23.71784963,1.0072028266059028,"2013-7-7 12:33:49",Motionless,no
37.99719509,23.71803672,1.0193540300641741,"2013-7-7 12:34:34",Motionless,no
37.99717392,23.7179492,0.9893367744334087,"2013-7-7 12:35:18",Motionless,no
37.99781707,23.71679086,0.9677629541701074,"2013-7-7 12:36:4",Motionless,no
37.99755564,23.71725372,0.9254458727589642,"2013-7-7 12:36:46",Motionless,yes
37.99813831,23.71711194,0.8752304930124224,"2013-7-7 12:37:45",Motionless,no
37.99744694,23.71780886,0.8408685980902778,"2013-7-7 12:38:28",Motionless,no
37.99702992,23.71858247,0.8142740000849185,"2013-7-7 12:39:4",Motionless,no
37.99728482,23.71837186,0.7876377712290195,"2013-7-7 12:39:36",Motionless,no
37.99728482,23.71837186,0.7876377712290195,"2013-7-7 12:40:10",Motionless,no
37.99780537,23.71656005,0.8006411652680677,"2013-7-7 12:40:43",Motionless,no
37.99808036,23.71669287,0.7608633767275672,"2013-7-7 12:41:14",Motionless,no
37.99796888,23.71756345,0.7125914822187901,"2013-7-7 12:41:48",Motionless,no
37.99808146,23.71757368,0.6886216116518137,"2013-7-7 12:42:28",Motionless,no
37.99829451,23.71725507,0.6746775557355182,"2013-7-7 12:43:9",Motionless,no
37.99855826,23.7174397,0.6396212058716909,"2013-7-7 12:43:49",Motionless,no
37.99787183,23.71724473,0.6632502629206731,"2013-7-7 12:44:30",Motionless,no
37.99758941,23.71720624,0.6579224877017271,"2013-7-7 12:45:13",Motionless,no
37.99752582,23.71719747,0.6463438521984012,"2013-7-7 12:46:3",Motionless,no
37.99777487,23.71638621,0.647967776069744,"2013-7-7 12:46:49",Motionless,no
37.99781469,23.71624846,0.6373551767083663,"2013-7-7 12:47:33",Motionless,no
37.99800407,23.71648053,0.6063352923160347,"2013-7-7 12:48:19",Motionless,no
37.99778722,23.71653982,0.5939208375545512,"2013-7-7 12:49:20",Motionless,no
37.99781434,23.71648892,0.5801767910774027,"2013-7-7 12:50:4",Motionless,no
37.99778545,23.7164229,0.5700241865229732,"2013-7-7 12:50:56",Motionless,no
37.99780312,23.71639533,0.5565414393307715,"2013-7-7 12:51:44",Motionless,no
37.99964502,23.7167677,0.47900952315276196,"2013-7-7 12:52:32",Motionless,no
38.00074501,23.7172603,0.4223449030366547,"2013-7-7 12:53:31",Motionless,no
38.00066235,23.71786569,0.39491999495831076,"2013-7-7 12:54:15",Motionless,no
38.001205,23.71745999,0.3893217030717405,"2013-7-7 12:55:1",Motionless,no
38.00108229,23.71699446,0.4020652819100725,"2013-7-7 12:55:42",Motionless,no
38.00079757,23.71735181,0.38884302019679506,"2013-7-7 12:56:22",Motionless,no
38.00048678,23.71817228,0.3625122316919192,"2013-7-7 12:57:8",Motionless,no
38.00150514,23.71707895,0.36869915993958,"2013-7-7 12:57:52",Motionless,no
38.00129024,23.71714765,0.36465683906189034,"2013-7-7 12:58:38",Motionless,no
38.0009071,23.71721188,0.36276096792180923,"2013-7-7 12:59:22",Motionless,no
38.00108629,23.71734809,0.3499152179578543,"2013-7-7 13:0:7",Motionless,no
38.00079592,23.71697239,0.35822979246067843,"2013-7-7 13:1:9",Motionless,no
38.00078863,23.71696362,0.35213056418036587,"2013-7-7 13:1:53",Motionless,no
38.00079203,23.71696269,0.3474440542300741,"2013-7-7 13:2:30",Motionless,no
38.00078921,23.71684721,0.34762424217920646,"2013-7-7 13:3:0",Motionless,no
38.00086676,23.71598232,0.3643853619601383,"2013-7-7 13:3:46",Walking,no
38.0006727,23.71632437,0.3521271639395527,"2013-7-7 13:4:38",Walking,no
38.00035439,23.71756876,0.31925652616767475,"2013-7-7 13:5:25",Walking,no
38.00061084,23.71765366,0.30730448324213583,"2013-7-7 13:6:21",Walking,no
38.00040175,23.71944546,0.2634401795922256,"2013-7-7 13:7:10",Walking,no
37.99884362,23.7197789,0.2898580914014878,"2013-7-7 13:7:54",Walking,no
38.0002105,23.71921999,0.26506216095009283,"2013-7-7 13:8:41",Walking,no
38.00020989,23.71926415,0.2621915187063657,"2013-7-7 13:9:21",Walking,no
37.99984806,23.7212674,0.22495239332748235,"2013-7-7 13:10:13",Walking,no
38.0009331,23.72297268,0.16532760244559025,"2013-7-7 13:10:49",Walking,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:11:19",Walking,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:11:49",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:12:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:12:50",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:13:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:13:50",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:14:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:14:50",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:15:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:15:50",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:16:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:16:50",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:17:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:17:50",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:18:20",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:18:51",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:19:21",Motionless,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:19:51",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:20:21",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:20:51",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:21:21",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:21:51",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:22:22",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:22:52",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:23:23",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:23:53",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:24:23",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:24:53",Metro,no
38.00111235,23.72330983,0.1536653725497694,"2013-7-7 13:25:23",Metro,no
23.723229661007593,38.00655625867571,1.752398681640625,"2013-6-4 12:34:2",Walking,yes
23.723229661007593,38.00655625867571,1.1987698872884114,"2013-6-4 12:34:32",Walking,yes
23.723229661007593,38.00655625867571,0.8285303751627604,"2013-6-4 12:35:2",Walking,yes
23.723229661007593,38.00655625867571,1.2838122049967449,"2013-6-4 12:35:32",Walking,yes
23.723229661007593,38.00655625867571,2.369001964594694,"2013-6-4 12:36:2",Bus,yes
23.723229661007593,38.00655625867571,3.030037773980035,"2013-6-4 12:36:32",Bus,yes
23.723229661007593,38.00655625867571,2.711041259765625,"2013-6-4 12:37:2",Bus,yes
23.723229661007593,38.00655625867571,3.3047818501790363,"2013-6-4 12:37:32",Bus,yes
23.721739239844457,37.999645379009664,1.133932113647461,"2013-6-4 12:41:12",Walking,yes
